id,timestamp
25769869312,1496004965052032
25769934848,1496004965180088
25770000384,1496004965308091
25770065920,1496004965436063
25770131456,1496004965564051
25770196992,1496004965692004
25770262528,1496004965820043
25770328064,1496004965948004
25770393600,1496004966076099
25770459136,1496004966204028
25770524672,1496004966332070
25770590208,1496004966460003
25770655744,1496004966588113
25770721280,1496004966716189
25770786816,1496004966844004
25786580992,1496004964924748
25786646528,1496004965052645
25786712064,1496004965180536
25786777600,1496004965308613
25786843136,1496004965436504
25786908672,1496004965564563
25786974208,1496004965692562
25787039744,1496004965820583
25787105280,1496004965948547
25787170816,1496004966076513
25787236352,1496004966204528
25787301888,1496004966332510
25787367424,1496004966460615
25787432960,1496004966588503
25787498496,1496004966716607
25787564032,1496004966844692
25803358208,1496004964925200
25803423744,1496004965053004
25803489280,1496004965181005
25803554816,1496004965309004
25803620352,1496004965437094
25803685888,1496004965565076
25803751424,1496004965693003
25803816960,1496004965821003
25803882496,1496004965949003
25803948032,1496004966077020
25804013568,1496004966205033
25804079104,1496004966333023
25804144640,1496004966461066
25804210176,1496004966589004
25804275712,1496004966717147
25804341248,1496004966845166
25820135424,1496004964925507
25820200960,1496004965053566
25820266496,1496004965181510
25820332032,1496004965309530
25820397568,1496004965437504
25820463104,1496004965565566
25820528640,1496004965693503
25820594176,1496004965821592
25820659712,1496004965949504
25820725248,1496004966077504
25820790784,1496004966205535
25820856320,1496004966333505
25820921856,1496004966461544
25820987392,1496004966589567
25821052928,1496004966717503
25821118464,1496004966845622
25836912640,1496004964926003
25836978176,1496004965054100
25837043712,1496004965182043
25837109248,1496004965310004
25837174784,1496004965438015
25837240320,1496004965566003
25837305856,1496004965694003
25837371392,1496004965822023
25837436928,1496004965950090
25837502464,1496004966078005
25837568000,1496004966206125
25837633536,1496004966334072
25837699072,1496004966462152
25837764608,1496004966590147
25837830144,1496004966718065
25837895680,1496004966846004
25853689856,1496004964926509
25853755392,1496004965054514
25853820928,1496004965182508
25853886464,1496004965310533
25853952000,1496004965438504
25854017536,1496004965566594
25854083072,1496004965694611
25854148608,1496004965822567
25854214144,1496004965950504
25854279680,1496004966078523
25854345216,1496004966206521
25854410752,1496004966334504
25854476288,1496004966462590
25854541824,1496004966590503
25854607360,1496004966718504
25854672896,1496004966846504
25870467072,1496004964927003
25870532608,1496004965055083
25870598144,1496004965183004
25870663680,1496004965311018
25870729216,1496004965439064
25870794752,1496004965567008
25870860288,1496004965695031
25870925824,1496004965823008
25870991360,1496004965951039
25871056896,1496004966079008
25871122432,1496004966207010
25871187968,1496004966335099
25871253504,1496004966463072
25871319040,1496004966591008
25871384576,1496004966719009
25871450112,1496004966847113
25887244288,1496004964927507
25887309824,1496004965055509
25887375360,1496004965183507
25887440896,1496004965311510
25887506432,1496004965439503
25887571968,1496004965567562
25887637504,1496004965695537
25887703040,1496004965823519
25887768576,1496004965951571
25887834112,1496004966079583
25887899648,1496004966207549
25887965184,1496004966335504
25888030720,1496004966463540
25888096256,1496004966591593
25888161792,1496004966719740
25888227328,1496004966847504
25904021504,1496004964928003
25904087040,1496004965056004
25904152576,1496004965184004
25904218112,1496004965312015
25904283648,1496004965440082
25904349184,1496004965568111
25904414720,1496004965696006
25904480256,1496004965824008
25904545792,1496004965952007
25904611328,1496004966080003
25904676864,1496004966208056
25904742400,1496004966336004
25904807936,1496004966464088
25904873472,1496004966592003
25904939008,1496004966720004
25905004544,1496004966848195
25920798720,1496004964928507
25920864256,1496004965056510
25920929792,1496004965184508
25920995328,1496004965312510
25921060864,1496004965440597
25921126400,1496004965568599
25921191936,1496004965696592
25921257472,1496004965824598
25921323008,1496004965953546
25921388544,1496004966080548
25921454080,1496004966208588
25921519616,1496004966336585
25921585152,1496004966464513
25921650688,1496004966592666
25921716224,1496004966720504
25921781760,1496004966848502
25937575936,1496004964929003
25937641472,1496004965057004
25937707008,1496004965185060
25937772544,1496004965313119
25937838080,1496004965441004
25937903616,1496004965569092
25937969152,1496004965697064
25938034688,1496004965825004
25938100224,1496004965954230
25938165760,1496004966081052
25938231296,1496004966209055
25938296832,1496004966337097
25938362368,1496004966465004
25938427904,1496004966593162
25938493440,1496004966721003
25938558976,1496004966849002
25954353152,1496004964929506
25954418688,1496004965057568
25954484224,1496004965185621
25954549760,1496004965313600
25954615296,1496004965441559
25954680832,1496004965569564
25954746368,1496004965697553
25954811904,1496004965825561
25954877440,1496004965954453
25954942976,1496004966081521
25955008512,1496004966209595
25955074048,1496004966337504
25955139584,1496004966465552
25955205120,1496004966593505
25955270656,1496004966721589
25955336192,1496004966849501
25971130368,1496004964930003
25971195904,1496004965058004
25971261440,1496004965186057
25971326976,1496004965314075
25971392512,1496004965442092
25971458048,1496004965570029
25971523584,1496004965698026
25971589120,1496004965826003
25971654656,1496004965954465
25971720192,1496004966082010
25971785728,1496004966210004
25971851264,1496004966338004
25971916800,1496004966466003
25971982336,1496004966594003
25972047872,1496004966722171
25972113408,1496004966850001
25987907584,1496004964930506
25987973120,1496004965058597
25988038656,1496004965186509
25988104192,1496004965314587
25988169728,1496004965442571
25988235264,1496004965570668
25988300800,1496004965698503
25988366336,1496004965826546
25988431872,1496004965954501
25988497408,1496004966082552
25988562944,1496004966210517
25988628480,1496004966338598
25988694016,1496004966466504
25988759552,1496004966594595
25988825088,1496004966722718
25988890624,1496004966850501
26004684800,1496004964931003
26004750336,1496004965059145
26004815872,1496004965187057
26004881408,1496004965315110
26004946944,1496004965443107
26005012480,1496004965571059
26005078016,1496004965699037
26005143552,1496004965827004
26005209088,1496004965955210
26005274624,1496004966083103
26005340160,1496004966211038
26005405696,1496004966339004
26005471232,1496004966467007
26005536768,1496004966595112
26005602304,1496004966723132
26005667840,1496004966851003
26021462016,1496004964931507
26021527552,1496004965059509
26021593088,1496004965187561
26021658624,1496004965315543
26021724160,1496004965443523
26021789696,1496004965571757
26021855232,1496004965699546
26021920768,1496004965827503
