40700,1
40725,1
40750,1
40775,1
40787,1
40800,1
40812,2
40850,3
40862,1
40863,2
40875,1
40887,1
40900,1
40912,4
40925,2
40937,2
40950,5
40962,1
40975,4
40987,2
41000,2
41013,1
41037,4
41038,1
41050,3
41063,1
41075,2
41087,2
41088,1
41100,6
41112,3
41113,2
41125,3
41137,4
41138,3
41150,6
41163,2
41175,8
41187,2
41188,7
41200,5
41212,6
41213,3
41225,6
41237,5
41238,3
41250,5
41262,3
41263,5
41275,7
41287,3
41288,3
41300,7
41312,2
41313,5
41325,7
41337,5
41338,2
41350,6
41362,3
41363,4
41375,10
41387,1
41388,2
41400,10
41412,3
41413,4
41425,10
41437,3
41438,3
41450,9
41462,3
41463,6
41475,10
41487,7
41488,6
41500,3
41512,5
41513,7
41525,8
41537,5
41538,12
41550,6
41562,7
41563,3
41575,14
41587,2
41588,5
41600,8
41612,4
41613,9
41625,14
41637,6
41638,3
41650,10
41662,6
41663,5
41675,12
41687,9
41688,6
41700,14
41712,8
41713,4
41725,11
41737,6
41738,7
41750,15
41762,8
41763,8
41775,16
41787,6
41788,8
41800,11
41812,12
41813,7
41825,15
41837,3
41838,6
41850,16
41862,3
41863,6
41875,14
41887,3
41888,10
41900,14
41912,8
41913,5
41925,18
41937,7
41938,5
41950,17
41962,8
41963,6
41975,18
41987,9
41988,11
42000,22
42012,14
42013,16
42025,22
42037,6
42038,10
42050,18
42062,12
42063,5
42075,24
42087,13
42088,9
42100,16
42112,10
42113,17
42125,15
42137,13
42138,12
42150,17
42162,8
42163,8
42175,22
42187,11
42188,7
42200,22
42212,8
42213,9
42225,20
42237,11
42238,11
42250,18
42262,8
42263,6
42275,27
42287,7
42288,14
42300,21
42312,12
42313,12
42325,20
42337,6
42338,8
42350,13
42362,16
42363,14
42375,25
42387,7
42388,9
42400,33
42412,10
42413,6
42425,14
42437,8
42438,11
42450,27
42462,13
42463,19
42475,33
42487,12
42488,13
42500,17
42512,14
42513,15
42525,27
42537,11
42538,11
42550,25
42562,10
42563,18
42575,33
42587,12
42588,15
42600,27
42612,18
42613,12
42625,34
42637,16
42638,9
42650,20
42662,15
42663,12
42675,19
42687,13
42688,12
42700,27
42712,15
42713,15
42725,26
42737,13
42738,12
42750,33
42762,14
42763,8
42775,21
42787,7
42788,16
42800,33
42812,9
42813,6
42825,21
42837,16
42838,14
42850,24
42862,19
42863,13
42875,38
42887,19
42888,17
42900,27
42912,9
42913,10
42925,26
42937,16
42938,14
42950,32
42962,15
42963,23
42975,17
42987,11
42988,13
43000,30
43012,15
43013,13
43025,29
43037,11
43038,11
43050,20
43062,11
43063,10
43075,21
43087,10
43088,15
43100,17
43112,14
43113,9
43125,28
43137,8
43138,13
43150,25
43162,11
43163,10
43175,21
43187,14
43188,15
43200,30
43212,11
43213,18
43225,24
43237,14
43238,7
43250,30
43262,12
43263,19
43275,19
43287,8
43288,9
43300,24
43312,10
43313,10
43325,17
43337,11
43338,7
43350,27
43362,12
43363,9
43375,22
43387,9
43388,14
43400,16
43412,11
43413,20
43425,17
43437,13
43438,15
43450,21
43462,7
43463,10
43475,22
43487,9
43488,5
43500,14
43512,12
43513,10
43525,19
43537,3
43538,11
43550,20
43562,14
43563,9
43575,18
43587,5
43588,5
43600,15
43612,7
43613,16
43625,23
43637,12
43638,11
43650,16
43662,11
43663,10
43675,19
43687,12
43688,11
43700,12
43712,11
43713,6
43725,17
43737,5
43738,11
43750,15
43762,7
43763,10
43775,11
43787,9
43788,6
43800,9
43812,9
43813,10
43825,15
43837,6
43838,6
43850,23
43862,5
43863,9
43875,9
43887,10
43888,5
43900,12
43912,12
43913,7
43925,11
43937,5
43938,8
43950,7
43962,11
43963,7
43975,8
43987,4
43988,7
44000,13
44012,11
44013,5
44025,14
44037,4
44038,4
44050,9
44062,6
44063,6
44075,12
44087,2
44088,5
44100,14
44112,6
44113,9
44125,8
44137,4
44138,7
44150,12
44162,5
44163,6
44175,5
44187,1
44188,4
44200,7
44212,6
44213,2
44225,9
44237,5
44238,7
44250,10
44262,3
44263,4
44275,8
44287,2
44288,9
44300,6
44312,5
44313,4
44325,11
44337,5
44338,4
44350,5
44362,6
44363,2
44375,3
44387,1
44388,1
44400,11
44412,1
44413,6
44425,5
44437,1
44438,1
44450,5
44462,1
44463,1
44475,7
44487,3
44488,3
44500,4
44512,5
44525,2
44537,1
44538,4
44550,4
44562,1
44563,1
44575,2
44587,1
44588,4
44600,4
44612,1
44613,1
44637,1
44650,2
44675,1
44688,3
44712,1
44713,2
44725,4
44737,4
44738,4
44763,1
44775,2
44788,2
44800,2
44812,1
44813,2
44825,2
44837,1
44838,2
44850,3
44862,1
44863,2
44875,2
44887,1
44900,2
44925,1
44937,1
44938,2
44950,1
44962,1
44963,1
44975,1
44988,1
45012,1
45013,1
45037,4
45050,1
45075,1
45087,2
45100,1
45125,1
45137,1
45150,1
45162,1
45163,1
45175,2
45200,1
45213,1
45275,1
45313,1
45325,2
45338,1
45350,1
45463,1
45475,1
45488,1
45537,1
45538,1
45725,1
46025,1
47050,1
47150,1
61613,1
